month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,Lafayette,LFT,LA,Lafayette Regional Paul Fournet Field,277,52,19.49,2.64,13.61,0,16.25,8,1,4251,2435,203,433,0,1180
1,Lake Charles,LCH,LA,Lake Charles Regional,133,21,7.9,0.41,4.28,0,8.41,5,0,1590,757,7,139,0,687
1,Lansing,LAN,MI,Capital Region International,257,79,29.53,3.38,16.71,0,29.38,6,0,7414,3760,117,1243,0,2294
1,Laramie,LAR,WY,Laramie Regional,53,6,2.31,0,0.72,0,2.97,6,0,284,131,0,13,0,140
1,Laredo,LRD,TX,Laredo International,190,38,15.52,0.06,10.9,0,11.52,3,0,4403,3125,5,272,0,1001
1,Las Vegas,LAS,NV,McCarran International,12487,3712,735.6,137.34,1616.62,5.92,1216.55,180,10,212181,46739,9980,77908,355,77199
1,Latrobe,LBE,PA,Arnold Palmer Regional,93,17,1.24,0.79,12.29,0,2.67,3,0,1024,42,80,762,0,140
1,Lawton/Fort Sill,LAW,OK,Lawton-Fort Sill Regional,30,10,3.06,0,0.26,0,6.68,5,0,932,383,0,14,0,535
1,Lewiston,LWS,ID,Lewiston Nez Perce County,50,9,0.77,2,2.38,0,3.85,1,0,2069,20,1606,115,0,328
1,Lexington,LEX,KY,Blue Grass,485,111,52.36,1.98,16.39,0,40.25,7,0,8466,4237,109,675,0,3445
1,Lihue,LIH,HI,Lihue Airport,967,152,72.43,1.92,40.14,0,37.51,5,0,7056,3601,267,1475,0,1713
1,Lincoln,LNK,NE,Lincoln Airport,256,53,16.28,3.02,17.51,0,16.18,5,1,4062,1235,230,1445,0,1152
1,Little Rock,LIT,AR,Bill and Hillary Clinton Nat Adams Field,630,117,40.01,5.45,21.86,0,49.67,8,0,6891,2576,506,817,0,2992
1,Long Beach,LGB,CA,Long Beach Airport,1318,369,85.19,3.57,78.02,1,201.22,28,9,24498,5062,300,2969,69,16098
1,Longview,GGG,TX,East Texas Regional,8,4,1.09,0,0.08,0,2.83,2,0,384,53,0,10,0,321
1,Los Angeles,LAX,CA,Los Angeles International,17315,6064,1107.86,199.9,3278.71,6.77,1470.77,304,55,351658,80144,15308,148262,275,107669
1,Louisville,SDF,KY,Louisville Muhammad Ali International,735,151,54.99,6.02,27.28,0.87,61.85,12,0,7844,3010,287,1052,34,3461
